"","maxIndexCL","minIndexCL","change","progrs","meanIndexCL","cat","maxIndexJL","minIndexJL","meanIndexJL","changeIndCL","progrsIndCL","catIndCL","meanFreedom","changeFreedom"
"Uganda",55.2,41.6,13.6,-5.87647058823529,47.4764705882353,"Partially Free",50.3,37.6,46.040625,12.7,1.159375,"Partially Free",46.7585477941176,6.14145220588236
"Ukraine",68,49.7,18.3,-4.28235294117647,55.9823529411765,"Partially Free",44.9,30.3,37.446875,14.6,1.853125,"Not Free",46.7146139705882,-2.31461397058824
"United Arab Emirates",39.8,32.2,7.59999999999999,-1.06764705882352,33.6676470588235,"Not Free",26.7,18.5,23.6125,8.2,3.0875,"Not Free",28.6400735294118,16.8599264705882
"United Kingdom",81.8,71.3,10.5,5.98529411764706,73.4147058823529,"Free",73.1,68.5,70.409375,4.59999999999999,-0.709374999999994,"Free",71.9120404411765,4.83795955882354
"United States",88,75.5,12.5,-5.18823529411765,80.6882352941176,"Free",82.8,75.8,78.071875,7,2.42812500000001,"Free",79.3800551470588,-1.38005514705881
"Uruguay",89.9,79.7,10.2,0.0411764705882263,80.7588235294118,"Free",72.9,61.8,68.984375,11.1,3.715625,"Free",74.8715992647059,-45.2215992647059
"Uzbekistan",35.8,17.5,18.3,10.7794117647059,24.3205882352941,"Not Free",24.2,1.52,7.13875,22.68,17.06125,"Not Free",15.729669117647,2.02033088235295
"Venezuela",72.7,35.5,37.2,-16.3676470588235,51.8676470588235,"Partially Free",57.8,0,29.5296875,57.8,-29.5296875,"Partially Free",40.6986672794118,-13.0986672794117
"Vietnam",37.7,31,6.7,0.708823529411767,33.3911764705882,"Not Free",32.9,19,24.81875,13.9,-3.71875,"Not Free",29.1049632352941,-3.1549632352941
"Yemen",50.1,22.1,28,-12.3970588235294,37.1970588235294,"Partially Free",34,22.2,30.865625,11.8,-3.765625,"Not Free",34.0313419117647,31.4686580882353
