country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
France,70.2,70.2,70.2,70.2,70.2,70.2,73.5,73.5,73.5,73.8,73.8,73.2,73.8,73.8,73.8,73.8,73.8,74.4,69.5,72.8,72.8,72.3,72.3,72.3,72.3,72.3,72.3,71.8,71.8,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,68.9,68.9,68.9,67.5,68.9,68.9,68.9
Gabon,36.8,36.8,36.8,36.8,36.8,36.8,37.3,37.3,37.3,35.7,37,37,37,35.7,37,42.2,42.4,42.8,43.3,42.8,41.6,41.6,41.6,41.6,41.6,40.4,40.4,40.4,40.4,40.4,40.4,39,39,39,39,38.2,39.6,38,38.7,37.3,37.3,37.3,37.4,34.5,33.9
United Kingdom,69.5,69.5,69.5,69.5,69.5,69.5,70,70,70,70.2,69.8,69.8,69.8,69.8,69.8,70.2,70.2,70.6,69.1,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,71.7,70.2,70.2,70.2,70.2,73.1,68.5,69.7
Georgia,,,,,,,,,,,,,,,,,40.1,40.6,41.3,39.7,39.6,41.1,41.1,41.8,41.8,42.5,42.5,42.5,42.5,40.5,43.7,47.6,45.8,45.8,45.8,43.7,45.2,46.3,49,50.5,50.5,49.9,49.6,48.8,48.8
Ghana,47.7,47.7,47.7,47.7,59.5,63.9,63,47.5,46.2,46.8,46.8,46.8,46.8,46.5,46.8,48.3,47.1,48.3,58.5,60.1,60.1,64.8,64.8,64.8,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,62.2,62.2,62.2,65.4,65.4,65.4,63.1,63.1,63.8,58.6,65.2,63.4,63.6
Guinea,20.8,20.8,20.8,20.8,20.8,20.8,20.5,20.5,21.9,23.4,25.9,25.9,25.5,25.9,25.9,26.8,29.2,29.2,27.9,27.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.5,29.5,29.5,29.5,29.5,30.2,29.1,30.2,29.9,29.9,29.9,30.6,30.6,30.6,30.6,31.2,30.4,31.2
Gambia,59.1,59.1,59.1,59.1,59.1,59.1,58.5,60.1,60.1,58.5,60.1,60.1,58.6,59.7,59.7,59.7,59.7,59.7,60.1,43.1,37.5,38.9,38.9,38.9,38.9,38.9,38.9,37.9,37.4,36.6,36.6,36.6,36.6,35.1,35.1,35.1,35.1,35.1,32.4,32.4,32.4,32.4,79.3,81.3,82
Guinea-Bissau,30.7,30.7,30.7,30.7,30.7,28.6,28.1,28.1,28.1,28.1,28.1,27.5,27.5,27.5,27.5,27.5,29,29,33.4,41.7,43.5,43.5,43.5,43.2,43.5,44.4,44.4,44.4,44.4,47.2,47.5,46.4,46.4,46.1,46.1,45.4,44.8,37.1,45.9,45.9,46.7,45.9,47,48.5,45.2
Equatorial Guinea,1.72,1.72,1.72,1.72,10.1,19.9,21.3,21.3,21.3,21.3,21.3,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,14,14,14,14,14,8.13,8.13,8.13,1.52,10.6
Greece,46.4,61.7,68.2,68.2,68.2,68.2,68.8,68.8,68.8,68.3,68.3,68.3,68.3,68.3,68.3,68.3,68.7,68.7,69.1,69.1,69.4,69.4,69.1,68.7,68.3,68.3,68.3,68.3,68.3,68.3,67.1,67.1,67.1,67.1,67.1,65.8,65.8,63.3,66.4,69.7,66.5,66.5,63.6,70.1,68.5
